Country,2005 Sales,2006 Sales,2007 Sales,2008 Sales,2009 Sales,2010 Sales,2011 Sales,2012 Sales,2013 Sales,2014 Sales,2015 Sales,2016 Sales,2017 Sales,2018 Sales,2019 Sales,2020 Sales,2021 Sales,2022 Sales
Malta,"6,552","6,745","6,240","5,423","5,894","4,056","5,428","5,884","5,749","6,451","7,121","7,333","7,825","8,128","7,621",,,
Mauritius,"2,900","3,500","4,000","4,000","3,000","4,000","3,000","7,000","7,500","8,600","8,000","8,700","8,753","8,288","7,722",,,
Moldova,"4,000","5,000","7,000","11,000","4,000","5,000","5,500","5,000","5,000","5,600","3,700","4,300","5,260","5,960","6,406",,,
Mongolia,500,500,"1,000","3,000","3,000","3,000","3,000","2,000","1,500","1,100",700,"1,300","5,260","5,960","2,970",,,
N. Caledonia,"7,397","7,251","7,717","7,853","7,246","7,354","7,525","7,250","6,272","6,469","6,068","5,662","5,921","5,571","5,818",,,
Nepal,"1,000","1,000","2,000","1,500","2,000","1,000","3,000","3,600","3,500","5,300","4,000","6,400","7,445","6,759","7,505",,,
Nicaragua,"3,000","6,000","6,000","6,000","4,000","3,000","3,000","3,000","4,000","5,200","4,800","5,400","7,699","9,567","1,296",,,
Nigeria,"16,000","22,000","7,000","7,000","34,000","25,000","30,000","40,000","40,000","42,000","15,600","19,200","4,700","8,550","5,100",,,
North Macedonia,"9,300","10,000","10,200","10,500","6,000","8,500","8,500","5,000","2,000","2,700","3,200","3,800","3,273","3,885","4,060",,,
Oman,"147,500","144,700","146,300","145,000","105,000","115,000","115,000","130,000","140,000","138,600","121,100","115,700","63,789","49,777","49,924",,,
Palestine,"13,500","15,700","16,400","18,400","13,400","17,400","19,700","21,600","21,100","21,100","21,100","21,100",496,146,109,,,
Panama,"10,000","15,000","22,000","30,000","25,000","30,000","35,000","40,000","39,800","43,000","46,700","46,200","44,009","36,401","39,049",,,
Paraguay,"3,000","5,000","6,000","12,000","7,000","11,000","20,000","20,000","19,900","21,500","18,700","16,000","18,848","25,204","20,599",,,
Puerto Rico,"96,000","85,000","92,000","65,000","65,000","45,000","55,000","55,000","54,700","58,500","49,000","66,500","84,470","73,080","82,607",,"85,486",
Qatar,"61,100","59,900","60,500","60,000","40,000","40,000","45,000","60,000","65,000","71,500","69,200","50,200","41,176","38,816","39,679",,,
R. of Congo,200,200,200,500,"1,500","1,500","1,500","1,500","1,500","1,500","1,600",,,,,,,
Senegal,"3,000","3,000","3,000","3,000","4,000","4,000","3,500","4,000","4,000","4,500","3,700","4,400","3,773","3,558","3,320",,,
Serbia,"21,603","25,610","32,772","36,177","30,000","28,951","22,181","22,800","23,000","23,900","21,700","23,300","22,090","24,006","25,514",,,
Singapore,"109,167","116,849","110,814","100,979","73,183","47,273","33,493","32,724","27,955","32,807","61,512","91,096","94,692","81,625","76,476",,,
Slovenia,"59,324","59,578","68,719","71,575","57,967","61,142","60,193","50,091","52,268","53,296","59,450","63,674","62,522","65,115","70,904",,,
Sri Lanka,"2,600","2,800","2,900","3,000","3,000","2,000","7,000","8,000","10,000","13,800","12,500","26,300","11,796","10,981","8,100",,,
Sudan,"2,000","2,000","2,500","3,000","7,000","2,000","2,000","2,000","1,500","1,800","2,200",,"1,450","1,140",996,,,
Syria,"32,985","45,467","36,000","42,000","46,000","78,147","33,160","36,300","35,500","33,400","33,400","33,400","4,500","6,996","11,428",,,
Tajikistan,"5,300","5,700","5,800","6,000","7,000","6,500","7,500","6,000","6,000","6,100","6,100","1,900","2,000","2,200","2,200",,,
Tanzania,"2,000","2,000","2,000","2,000","2,000","2,000","3,000","3,000","3,500","1,000","2,600","2,300",938,998,675,,,
Tr.&Tobago,"10,000","10,000","5,000","10,000","10,000","10,000","10,000","8,000","8,000","6,300","10,500","13,900","9,840","9,712","10,707",,,
Tunisia,"25,000","30,000","30,000","33,000","35,000","45,000","35,000","37,000","35,000","37,100","36,100","36,400","45,886","35,343","34,387",,,
Turkmenistan,"3,900","4,200","4,300","4,500","4,500","4,500","5,000","4,500","4,500","4,600","4,600","4,500","4,800","5,100","5,225",,,
Uganda,"3,000","3,500","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","2,200","2,900",721,770,832,,,
Uruguay,"10,000","10,000","12,000","15,000","30,000","40,000","38,308","38,109","41,785","40,171","39,472","35,924","41,549","34,377","30,063",,,
Venezuela,"128,601","184,108","267,932","135,882","67,047","68,210","65,339","60,776","43,887","10,400","7,700","3,200","2,500","1,159","3,000",,,
Yemen,"4,000","4,700","4,800","5,000","5,000","2,000","2,000","2,000","2,000","2,500","2,300","1,100",828,552,552,,,
Zambia,"2,300","2,700","2,800","2,600","3,000","2,000","2,000","2,000","2,000","2,000","1,700","2,300",848,"1,118","1,094",,,
Zimbabwe,"7,000","6,000","3,000","3,000","3,000","2,000","3,000","3,000","3,000","4,100","1,500","1,300","1,094",906,532,,,
